,name,isotherm_time,kinetics_time,isotherm_mass,kinetics_mass
0,Syloid AL-1,1113.3699999999994,139.37,5.2828,10.676
1,Zeolite 13X,1151.3399999999997,431.64,42.2604,14.4047
2,CAU-10-H,2033.9400000000007,212.67999999999984,12.4041,20.2198
3,MIL-100Fe,1877.9799999999998,131.43999999999994,7.0627,6.2617
4,Zeolite 3A,729.3299999999999,266.7900000000001,16.6396,16.6596
5,activated-charcoal,729.3199999999999,266.7900000000001,9.9055,9.7977
6,Al oxide,837.1799999999998,195.51999999999998,23.0881,23.1313
7,bentonite,837.16,222.56,17.9989,17.9819
8,montmorillonite,1301.2400000000002,217.0399999999999,15.5766,15.5727
9,Cellulose,977.1700000000003,249.85000000000002,11.1082,14.2849
10,HP-MCP,970.0899999999997,107.85000000000002,14.4488,15.1615
11,Kollidon,970.0999999999999,107.85000000000002,11.273,15.4292
12,Al-fumarate,1792.5,196.4599999999998,9.6047,12.0455
13,MIL-160,1064.9800000000005,247.5,9.1588,11.9043
14,MOF-303,1498.5800000000002,270.53,7.5912,11.2897
15,ROS-037,5075.020000000002,217.0399999999999,20.2282,9.4818
16,ROS-039,1064.9700000000005,140.18999999999994,10.3507,7.2026
17,ROS-040,1498.5900000000001,82.45000000000016,8.6793,9.5521
18,[Co2(mal)2(bpy)],731.6399999999999,361.34000000000015,11.5765,11.1562
19,[Ni2(mal)2(bpy)],976.3900000000003,64.11000000000007,12.9177,9.7573
20,Mg-CUK-1,544.2099999999996,109.49000000000001,15.6016,15.6439
21,hcp-UiO-66,527.7,95.94,14.5171,14.5465
22,UiO-66-NH2,732.7099999999998,149.10000000000008,19.4266,19.4716
23,[Ca2Zr(C2O4)2],2883.800000000001,64.11000000000007,11.727,10.3459
24,[Cu(HQS)(TMBP)],1192.1400000000006,197.92000000000007,9.0551,9.2764
25,sql-(azpy)(pdia)-Ni,1602.2599999999998,132.13000000000005,10.5841,14.7824
26,[Cd(pzdc)(azpy)],1087.2299999999996,156.59000000000003,16.2086,9.4687
27,ZPF-2-Co,1061.3300000000004,154.84000000000003,14.5095,14.4954
28,MIL-53(Al)-ADP,1900.8600000000006,96.99999999999994,17.1591,21.956
29,MIL-53(Al)-OH,2683.9400000000005,220.80000000000007,15.0649,14.9336
